Class,Image URL,Sentence
Elephant,https://farm5.staticflickr.com/4142/4865545523_2cea38edde_z.jpg,a medium-sized elephant stretches its legs as it feeds upon dry grass.
Elephant,https://farm6.staticflickr.com/5019/5548076916_fdf840fff6_z.jpg,a herd of elephants standing on top of a green field.
Elephant,https://farm6.staticflickr.com/5085/5272883763_d43318df1e_z.jpg,elephant standing in a grassy field eating from the ground.
Human,https://farm5.staticflickr.com/4045/4568641928_f8a5423c99_z.jpg,a man trying to catch a frisbee on a green grass field.
Human,https://farm1.staticflickr.com/239/452074804_9f2a758fce_z.jpg,man in camaflogue pants riding a small scooter.
Human,https://farm3.staticflickr.com/2013/2248058639_6a8a7c6dbb_z.jpg,a snowboarder is hopping over a small snow hump.
Human,https://farm7.staticflickr.com/6144/5952768366_f447de5819_z.jpg,a man is running across a court with a tennis racket
Human,https://farm4.staticflickr.com/3824/8788818522_56c9d9ed90_z.jpg,a woman jumping a black horse over a wooden log barrier.
Human,https://farm5.staticflickr.com/4067/4579861169_80de376cd7_z.jpg,a baby on a pink blanket holding a pink bear.
Human,https://farm7.staticflickr.com/6055/6359517841_2eaf640489_z.jpg,a young boy playing with a laptop at a table.
Human,https://farm5.staticflickr.com/4127/5412440528_194594e968_z.jpg,a man in a tie is sitting in a yellow chair holding a cat.
Human,https://farm4.staticflickr.com/3053/3036163436_afc0c635c8_z.jpg,a boy with a ball and mitt in his hands in the house.
Human,https://farm1.staticflickr.com/194/444863070_6324c32876_z.jpg,passengers waiting patiently for their flight at the airport terminal
Human,https://farm3.staticflickr.com/2354/2217288551_6228aec7dd_z.jpg,a man taking a picture of himself brushing his teeth
Human,https://farm2.staticflickr.com/1415/1398854733_f1192f857c_z.jpg,a woman holding a bag of items next to an open fridge.
Human,https://farm7.staticflickr.com/6223/6269651442_1670b9550b_z.jpg,a man taking a bite of a cookie with donuts on a plate in front of him.
Human,https://farm5.staticflickr.com/4031/4337925522_612c77a18f_z.jpg,one adult and two children pose for a picture in their ski equipment.
Human,https://farm1.staticflickr.com/6/5445833_873834add5_z.jpg,a man sneaks up behind a pelican on a sandy beach.
Human,https://farm4.staticflickr.com/3615/3414995792_e1ec2b5d3c_z.jpg,a bunch of people are cross country skiing in some woods.
Human,https://farm4.staticflickr.com/3118/2583274813_74fe59a1e5_z.jpg,people playing baseball in baseball uniforms on a baseball field.
Human,https://farm9.staticflickr.com/8371/8404038330_4487af08e7_z.jpg,a man sitting on a motorcycle smiling for the camera
Human,https://farm8.staticflickr.com/7308/9520132366_64ceb7fcaa_z.jpg,two men riding on a small sail boat in the water.
Human,https://farm2.staticflickr.com/1432/1309449768_5ec88f562b_z.jpg,a group of friends standing next to each other holding game controllers.
Human,https://farm2.staticflickr.com/1127/1218767833_722fe909eb_z.jpg,a baby is sitting in the boiler tray of an oven.
Human,https://farm8.staticflickr.com/7366/9090607431_9358ae3cb7_z.jpg,a man standing in the park while holding onto a frisbee
Human,https://farm8.staticflickr.com/7148/6407255819_280095f1ed_z.jpg,a man in a cap walking near a brick building towards a fire hydrant.
Human,https://farm6.staticflickr.com/5452/9570795447_fda4657f52_z.jpg,a little kid sitting in a high chair while eating a meal
Human,https://farm6.staticflickr.com/5532/9130638310_e7cb720af5_z.jpg,a man and woman posing together in dress clothes.
Human,https://farm3.staticflickr.com/2802/4320567843_75febfc319_z.jpg,woman in ski gear on the slopes on a sunny day
Human,https://farm8.staticflickr.com/7078/7179965641_0ccc3b0a1e_z.jpg,a tennis player prepares to hit a tennis ball during a match.
Human,https://farm9.staticflickr.com/8145/7525420400_7e0c278a42_z.jpg,people in red shirts ride in the back of a white truck.
Human,https://farm9.staticflickr.com/8143/7189901984_32bd4ce245_z.jpg,a man attempting to tie a tie over a polo shirt.
Human,https://farm2.staticflickr.com/1258/1314924038_7cc164b43f_z.jpg,a girl swings a bat in the street in front of a yard.
Human,https://farm1.staticflickr.com/33/48614382_8d91dbeecd_z.jpg,a person playing tennis swings at a tennis ball.
Human,https://farm3.staticflickr.com/2710/4533450105_c5d7e65afd_z.jpg,a man trying to block another person from throwing a frisbee during a game
Human,https://farm2.staticflickr.com/1440/645305085_567ce168d9_z.jpg,a man using a blender to make a drink as a crowd looks on.
Human,https://farm4.staticflickr.com/3677/9571611549_7a2d988a1b_z.jpg,a person swinging a tennis racket next to another person holding a tennis racket
Human,https://farm3.staticflickr.com/2743/4404298181_6dccb6fa0a_z.jpg,a skier leaping above the snow in the sun
Human,https://farm5.staticflickr.com/4129/5021547672_485286f649_z.jpg,the man extends his racket towards an approaching tennis ball.
Human,https://farm6.staticflickr.com/5211/5444273602_de18f919d5_z.jpg,us president barak obama and staff making a presentation at a press conference.
Human,https://farm4.staticflickr.com/3453/4569503689_bb13b22f61_z.jpg,a baseball game in progress with the umpire calling a play.
Human,https://farm9.staticflickr.com/8378/8539995264_fe189cec48_z.jpg,a boy is ascending a steep ramp overlooking a city with board in hand.
Human,https://farm8.staticflickr.com/7369/9189648674_19e038d1b1_z.jpg,a man and a woman riding a motorcycle next to a crowd.
Human,https://farm8.staticflickr.com/7093/7262038376_eda8feaecb_z.jpg,baseball man ready to swing bat on baseball field with onlookers
Human,https://farm5.staticflickr.com/4016/4466909261_bdf0c72fa3_z.jpg,a man is flying through the air with a ski board in the middle of winter.
Human,https://farm1.staticflickr.com/58/206296402_1427a114f1_z.jpg,two young men are playing a game of tennis at the court.
Human,https://farm4.staticflickr.com/3154/2768368917_7b8cc48a7b_z.jpg,a man with a tennis racket celebrates as people look on
Human,https://farm9.staticflickr.com/8494/8321626453_2a93c92a4d_z.jpg,a woman on skis sliding down a snowy hill.
Human,https://farm9.staticflickr.com/8511/8581899450_37dc224cc6_z.jpg,a person skateboards shirtless on a concrete surface.
Human,https://farm4.staticflickr.com/3467/3286975219_6fdd3ef526_z.jpg,a snowboarder holding a snowboard standing under a sign.
Human,https://farm3.staticflickr.com/2736/4288943050_b9d0289c5d_z.jpg,a child is on skis and is being pulled by a overhead cable.
Human,https://farm8.staticflickr.com/7282/9447435308_943ddcebbd_z.jpg,a young man is jumping in the air on a skateboard.
Human,https://farm4.staticflickr.com/3300/4621745616_575f2a1078_z.jpg,a baby sitting on a desk playing with a laptop computer.
Pizza,https://farm8.staticflickr.com/7227/7286740392_ff12c224e9_z.jpg,on a plate sits a fresh pizza cut into slices.
Pizza,https://farm4.staticflickr.com/3318/3561760797_6b847f14af_z.jpg,a single pepper crosses two slices of pizza on a retro china plate.
Pizza,https://farm4.staticflickr.com/3552/3512421230_1f121c1551_z.jpg,a small rustic pizza with silverware resting on it
Pizza,https://farm4.staticflickr.com/3433/3381074936_d5091dd9f3_z.jpg,a personal pizza in a box with 20 ounce soda pop
Pizza,https://farm4.staticflickr.com/3377/3504153131_060d62ee9d_z.jpg,a sliced pizza with pepperoni and cheese in a box.
Pizza,https://farm3.staticflickr.com/2438/3934953453_62bc746048_z.jpg,a pizza with ham and vegetables on a serving tray
Pizza,https://farm7.staticflickr.com/6183/6056604884_f0f6f0231d_z.jpg,a pizza is covered with toppings to resemble an angry bird.
Pizza,https://farm6.staticflickr.com/5215/5497335673_d7dbefb72c_z.jpg,a square slice of pizza is topped with parmesan cheese.
Pizza,https://farm4.staticflickr.com/3567/3395094903_75590ece8b_z.jpg,a pizza is being prepared for baking on a baking sheet.
Pizza,https://farm8.staticflickr.com/7160/6758192053_ca18f2efab_z.jpg,a thin crust pizza with sliced onions and green peppers
Pizza,https://farm6.staticflickr.com/5090/5338647684_5c701b0802_z.jpg,a wooden table holding a tray of pizza with tomatoes and sausage.
Pizza,https://farm3.staticflickr.com/2454/5813664459_388fd1bb38_z.jpg,two pizzas with tomato sauce salad and strips of bacon.
Pizza,https://farm9.staticflickr.com/8350/8223818683_6e34f1642f_z.jpg,a pepperoni and vegetable pizza on table cloth with fruit pattern.
Pizza,https://farm5.staticflickr.com/4038/4358333846_bd116e2891_z.jpg,a large serving of pizza topped with meat cheese and spinach.
Pizza,https://farm7.staticflickr.com/6239/6333515989_d9f86f2920_z.jpg,two small personal pizzas served on white plates.
Pizza,https://farm8.staticflickr.com/7284/9321111733_745fc7b15c_z.jpg,a paper plate with one uneaten slice of pizza and one pizza crust
Pizza,https://farm5.staticflickr.com/4121/4766209274_783276879b_z.jpg,a half of cut cheese pizza on a silver tray
Pizza,https://farm4.staticflickr.com/3519/4048683510_ff3bd4456c_z.jpg,three pizzas are sitting in the windows a small red car.
Pizza,https://farm8.staticflickr.com/7145/6632175431_c08b3ef4d1_z.jpg,three slices of pepperoni pizza on a plate
Pizza,https://farm9.staticflickr.com/8018/7429167026_c25ffcf1a1_z.jpg,a pizza is on a cutting board with one slice with different toppings than the rest.
Pizza,https://farm9.staticflickr.com/8055/8105169504_5e9cecdcb6_z.jpg,a pizza covered in toppings and cheese on a table.
Pizza,https://farm5.staticflickr.com/4140/4763782703_cf3f1577f4_z.jpg,vegetable pizza with cheese tomato sauce and spinach.
Pizza,https://farm1.staticflickr.com/115/292519207_090d19280d_z.jpg,a burnt pizza covered in cheese and toppings.
Pizza,https://farm3.staticflickr.com/2003/5822921409_b8b85a8bbe_z.jpg,a pizza with tomatoes peppers broccoli garlic and cheese.
Pizza,https://farm5.staticflickr.com/4007/4496128901_e250ed5d28_z.jpg,a white plate topped with a small pizza on top of a table.
Pizza,https://farm1.staticflickr.com/93/238119770_7fda482333_z.jpg,a large cheese pizza with burnt crust on a white plate.
Pizza,https://farm9.staticflickr.com/8238/8563348454_3ee2991993_z.jpg,a large slice of pizza with cheese and various toppings on a paper plate.
Pizza,https://farm5.staticflickr.com/4057/4333708600_aa25f83c6b_z.jpg,a wood table with several plates and utensils around a stuffed pizza cut into eight pieces.
Pizza,https://farm6.staticflickr.com/5468/7420593302_44dcbf2242_z.jpg,a pizza with several toppings sitting on a table.
Pizza,https://farm8.staticflickr.com/7273/7750926394_f82f07f925_z.jpg,person using a pizza cutter to slice the pizza on the cutting board
Pizza,https://farm6.staticflickr.com/5262/5742857177_81694f2879_z.jpg,a whole cheese pizza sitting on a wood pan on a table.
Pizza,https://farm8.staticflickr.com/7231/7046547063_eec4f548bb_z.jpg,a large homemade pizza with spinach and chicken atop it
Pizza,https://farm7.staticflickr.com/6005/5930116681_35f786129c_z.jpg,a pizza cut up with tomatoes onions and sausage.
Pizza,https://farm6.staticflickr.com/5335/7409165818_cb5cbb2b6a_z.jpg,a takeout pizza with pineapple next to a pizza box on the table.
Pizza,https://farm6.staticflickr.com/5289/5301003500_8e27d821a9_z.jpg,a slice of pizza siting on a triangular paper plate
Pizza,https://farm5.staticflickr.com/4091/5000074081_c183a05407_z.jpg,a pizza with cheese and spinach topping it on a tray.
Pizza,https://farm8.staticflickr.com/7194/7101807207_81daa5999a_z.jpg,freshly baked sliced cheese pizza with thick crust.
Pizza,https://farm5.staticflickr.com/4141/4797939652_4886d27c92_z.jpg,a pizza with pepperoni black olives onions and other vegetables.
Pizza,https://farm5.staticflickr.com/4067/4704024788_05cb4a4f88_z.jpg,a small pizza burnt on the edges on a plate.
Pizza,https://farm8.staticflickr.com/7404/9673822760_ec7d29bb0c_z.jpg,a slightly overcooked homemade personal sized pizza with meat and red peppers.
Pizza,https://farm7.staticflickr.com/6059/6270816074_dfcd94582a_z.jpg,a tray of pizza with cheese and broccoli on it
Pizza,https://farm4.staticflickr.com/3566/5694677121_6050b7d974_z.jpg,a pizza with edamame canadian bacon cheese and sauce sits on a table.
Pizza,https://farm5.staticflickr.com/4031/4447504160_10896be737_z.jpg,one slice of cheese pizza sits on a paper plate on top of a cardboard carryout box.
Pizza,https://farm7.staticflickr.com/6123/6200065432_27d74577ed_z.jpg,the personal size pizza has cheese and pineapple toppings.
Pizza,https://farm6.staticflickr.com/5163/5367729605_c16aeec290_z.jpg,a pizza with spinach and tomatoes on a pan.
Pizza,https://farm9.staticflickr.com/8123/9011510263_6d8ae6ebd0_z.jpg,a metal plate holding a pizza with cheese and vegetables.
Pizza,https://farm2.staticflickr.com/1300/4713045360_481478cf6c_z.jpg,a pizza with mushrooms is on a blue yellow and white table
Pizza,https://farm5.staticflickr.com/4139/4937253494_87756f974f_z.jpg,a pizza cutter is going through a small pizza.
Pizza,https://farm8.staticflickr.com/7003/6616550435_f4cc63be82_z.jpg,a pizza with ham pepperoni and cheese with a slice missing.
Pizza,https://farm3.staticflickr.com/2131/3861266797_dcf5e43956_z.jpg,three slices of pizza on a plate with some parsley on the side.
